film_id,title,director,year,country,genre,film_type,category,actors,alternate_titles
4ce2b6e9c78a5,L' albero degli zoccoli,Ermanno Olmi,1978,Italy,Period drama,Film,Fiction,Luigi Ornaghi::Francesca Moriggi::Omar Brignoli,The Tree of Wooden Clogs
4ce2b6ea27f4e,Alice Doesn't Live Here Anymore,Martin Scorsese,1974,USA,Romance::Drama,Film,Fiction,Mia Bendixsen::Ellen Burstyn::Alfred Lutter,
4ce2b6ea3947f,Aliens,James Cameron,1986,United Kingdom::USA,Horror::Science Fiction,Film,Fiction,Sigourney Weaver::Michael Biehn::Paul Reiser,
4ce2b6eadf87b,ALPHAVILLE  UNE ETRANGE AVENTURE DE LEMMY CAUTION,,1965,France::Italy,Detective drama::Science Fiction,Film,Fiction,Eddie Constantine::Anna Karina::Akim Tamiroff,ALPHAVILLE
4ce2b6eba950f,AMOR DE PERDIÇÃO,Manoel de Oliveira,1978,Portugal,Drama,Film,Fiction,Pedro Pinheiro::Manuela de Melo::Cristina Hauser,ILL FATED LOVE::LOVE OF PERDITION::Doomed Love
4ce2b6ebc29c0,Love Exists,Maurice Pialat,1960,France,Documentary,Film,Non Fiction,Jean-Loup Reinhold,L' Amour Existe
4ce2b6ebe5b16,ANATOMIE D'UN RAPPORT,Luc Moullet::Antonietta Pizzorno,1976,France,,Film,,Luc Moullet::Christine Hébert::Antonietta Pizzorno,ANATOMY OF A RELATIONSHIP
4ce2b6ebeb664,ANA Y LOS LOBOS,,1972,Spain,Drama,Film,Fiction,Geraldine Chaplin::Fernando Fernán Gómez::José Maria Prada,ANNA AND THE WOLVES
4ce2b6ec52525,ANGÈLE,Marcel Pagnol,1934,France,Drama,Film,Fiction,Orane Demazis::Jean Servais::Henri Poupon,
4ce2b6ec71b34,ANGST,Gerald Kargl,1983,Austria,Horror::Crime,Film,Fiction,Erwin Leder::Edith Rosset::Sylvia Rabenreither,FEAR::TANGO
4ce2b6ecb7b42,ANNA,Alberto Grifi::Massimo Sarchielli,1972,Italy,,Film,,Massimo Sarchielli::Vincenzo Mazza::Stefano Cattarossi,
4ce2b6ecc6133,Les ANNÉES 80,Chantal Akerman,1983,Belgium::Switzerland::France,Documentary,Film,Non Fiction,Aisha Bentebouche::Francesca Best::Warre Borgmans,GOLDEN EIGHTIES::The GOLDEN 80S
4ce2b6ed0e330,Anticipation of the Night,Stan Brakhage,1958,USA,Artists' Moving Image,Film,,,
4ce2b6eda20b4,ARCANA,Giulio Questi,1972,Italy,,Film,,Lucia Bosè::Maurizio Degli Esposti::Tina Aumont,
4ce2b6edbea40,Al- ARD,Youssef Chahine,1969,Egypt,Drama,Film,Fiction,Nagwa Ibrahim::Mahmoud el-Milligi::Ezzat el-Alaili,The EARTH::The LAND
4ce2b6edeeb13,L' Argent,Robert Bresson,1983,Switzerland::France,Crime,Film,Fiction,Christian Patey::Vincent Risterucci::Caroline Lang,Money
