actor,films,film_votes,votes_per_film,directors
Maurice Chevalier,3,8,2.67,"Rouben Mamoulian, Ernst Lubitsch, Billy Wilder"
Michel Lonsdale,3,8,2.67,"Marguerite Duras, Jean Eustache, Xavier Beauvois"
Natalie Wood,3,8,2.67,"Elia Kazan, Robert Wise/Jerome Robbins, Paul Mazursky"
Nino Manfredi,3,8,2.67,"Luis García Berlanga, Luigi Magni, Ettore Scola"
Song Kang-ho,3,8,2.67,"Bong Joon-ho, Lee Chang-dong"
Tim Roth,3,8,2.67,"Quentin Tarantino, James Gray, Mike Leigh"
Timothy Spall,3,8,2.67,Mike Leigh
Vincent Cassel,3,8,2.67,"Mathieu Kassovitz, Gaspar Noé, Darren Aronofsky"
Gene Tierney,3,7,2.33,"Joseph L. Mankiewicz, Otto Preminger"
Jessica Harper,3,7,2.33,"Woody Allen, Dario Argento, Brian De Palma"
Ken Ogata,3,7,2.33,"Imamura Shohei, Paul Schrader"
Kurt Russell,3,7,2.33,"John Carpenter, Jonathan Mostow, Quentin Tarantino"
Makhourédia Guèye,3,7,2.33,"Djibril Diop Mambéty, Ousmane Sembene, Ababacar Samb-Makharam"
Morgan Freeman,3,7,2.33,"Clint Eastwood, Frank Darabont"
Samantha Morton,3,7,2.33,"Charlie Kaufman, Carine Adler, Lynne Ramsay"
Teri Garr,3,7,2.33,"Steven Spielberg, Sydney Pollack, Francis Ford Coppola"
Tim Allen,3,7,2.33,"John Lasseter, John Lasseter/Ash Brannon/Lee Unkrich, Lee Unkrich"
Tsutomu Yamazaki,3,7,2.33,"Akira Kurosawa, Yôjirô Takita, Teshigahara Hiroshi"
Edward Everett Horton,3,7,2.33,"Mark Sandrich, Ernst Lubitsch"
Gian Maria Volonté,3,7,2.33,"Jean-Pierre Melville, Sergio Leone, Elio Petri"
Ayako Wakao,3,6,2.00,"Ozu Yasujirô, Mizoguchi Kenji"
Chow Yun-fat,3,6,2.00,"Ang Lee, John Woo"
Ewan McGregor,3,6,2.00,"Danny Boyle, Baz Luhrmann, Todd Haynes"
Ginger Rogers,3,6,2.00,"Mark Sandrich, George Stevens"
Glenn Ford,3,6,2.00,"Fritz Lang, Delmer Daves, Charles Vidor"
Ian Hendry,3,6,2.00,"Roman Polanski, Mike Hodges, Douglas Hickox"
Jacques Perrin,3,6,2.00,"Giuseppe Tornatore, Valerio Zurlini, Jacques Demy"
Karlheinz Böhm,3,6,2.00,"Michael Powell, Rainer Werner Fassbinder"
Michael Fassbender,3,6,2.00,"Steve McQueen, Quentin Tarantino, Andrea Arnold"
Peter Fonda,3,6,2.00,"Peter Fonda/Dennis Hopper, Asia Argento, Robert Rossen"
Philippe Noiret,3,6,2.00,"Giuseppe Tornatore, Benjamin Christensen, Agnès Varda"
Seizaburô Kawazu,3,6,2.00,"Akira Kurosawa, Mizoguchi Kenji"
Yôko Tsukasa,3,6,2.00,"Ozu Yasujirô, Naruse Mikio"
Tommy Lee Jones,3,6,2.00,"Joel & Ethan Coen, John Flynn, Tommy Lee Jones"
Ben Kingsley,3,5,1.67,"Martin Scorsese, Steven Spielberg, Jonathan Glazer"
Carmen Maura,3,5,1.67,Pedro Almodóvar
François Truffaut,3,5,1.67,"Steven Spielberg, François Truffaut"
Françoise Rosay,3,5,1.67,"Julien Duvivier, Jacques Feyder, Basil Dearden"
Jack Kao,3,5,1.67,"Hsiao-hsien Hou, Hou Hsiao-hsien"
Jacqueline Bisset,3,5,1.67,"François Truffaut, John Huston"
Jim Broadbent,3,5,1.67,Mike Leigh
John Mills,3,5,1.67,"David Lean, Jay Lewis, J Lee Thompson"
Johnny Depp,3,5,1.67,"Jim Jarmusch, Tim Burton, Gore Verbinski"
Laurent Terzieff,3,5,1.67,"Luis Buñuel, Pier Paolo Pasolini, Philippe Garrel"
Lee Marvin,3,5,1.67,"John Boorman, Samuel Fuller, Robert Aldrich"
Leonor Silveira,3,5,1.67,Manoel de Oliveira
Mario Adorf,3,5,1.67,"Volker Schlöndorff, Roland Kick, Antonio Pietrangeli"
Nobuko Otowa,3,5,1.67,"Mizoguchi Kenji, Shindo Kaneto"
Patricia Neal,3,5,1.67,"Blake Edwards, Martin Ritt, King Vidor"
Tilda Swinton,3,5,1.67,"Sally Potter, Derek Jarman, Lynne Ramsay"
Van Heflin,3,5,1.67,"George Stevens, Delmer Daves, Joseph Losey"
João César Monteiro,3,5,1.67,João César Monteiro
Luís Miguel Cintra,3,5,1.67,Manoel de Oliveira
Alan Bates,3,4,1.33,"Joseph Losey, Clive Donner, Ken Russell"
Ethan Hawke,3,4,1.33,"Richard Linklater, Peter Weir, Andrew Niccol"
Howard Vernon,3,4,1.33,"Jean-Claude Biette, Jean-Pierre Melville, Jess Franco"
Joaquin Phoenix,3,4,1.33,"James Gray, Ridley Scott, M Sight Shyamalan"
John Lennon,3,4,1.33,"Richard Lester, Bob Dylan/D.A. Pennebaker, William Klein"
John Lithgow,3,4,1.33,"Brian De Palma, Rupert Wyatt"
Lou Castel,3,4,1.33,"Rainer Werner Fassbinder, Danield Schmid, Philippe Garrel"
Michiyo Kogure,3,4,1.33,Mizoguchi Kenji
Sô Yamamura,3,4,1.33,"Kobayashi Masaki, Mizoguchi Kenji, Naruse Mikio"
Stephen Archibald,3,4,1.33,Bill Douglas
Tadanobu Asano,3,4,1.33,"Hsiao-hsien Hou, Koreeda Hirokazu, Katsuhito Ishii"
Takeshi Kitano,3,4,1.33,Kitano Takeshi
Vittorio Gassman,3,4,1.33,"Mario Monicelli, Dino Risi, Ettore Scola"
W.C. Fields,3,4,1.33,"Norman Z McLeod, Edward F Cline"
Will Ferrell,3,4,1.33,"Ben Stiller, Adam McKay"
William Hurt,3,4,1.33,"David Cronenberg, Lawrence Kasdan, James L Brooks"
Yûzô Kayama,3,4,1.33,"Naruse Mikio, Akira Kurosawa"
Manuela de Freitas,3,4,1.33,"João César Monteiro, Manoel de Oliveira"
André Dussolier,3,3,1.00,"Claude Sautet, Eric Rohmer, Alain Resnais"
Chloë Sevigny,3,3,1.00,"Vincent Gallo, Harmony Korine, Whit Stillman"
Christopher Lee,3,3,1.00,"Pere Portabella, Terence Fisher, Mario Bava"
Dilip Kumar,3,3,1.00,"Mehboob Khan, Bimal Roy, K. Asif"
Felicia Farr,3,3,1.00,"Delmer Daves, Don Siegel, Jack Lemmon"
Geena Davis,3,3,1.00,"Lawrence Kasdan, David Cronenberg, Ridley Scott"
Leon Niemczyk,3,3,1.00,"Andrzej Munk, Roman Polanski, Jerzy Kawalerowicz"
Matt Damon,3,3,1.00,"Martin Scorsese, Gus van Sant, Francis Ford Coppola"
Maurice Ronet,3,3,1.00,"Louis Malle, Marcel Carné"
Nikita Mikhalkov,3,3,1.00,"Nikita Mikhalkov, Eldar Ryazanov, Andrei Konchalovsky"
Raj Kapoor,3,3,1.00,"Mehboob Khan, Raj Kapoor, Basu Bhattacharya"
Ralph Fiennes,3,3,1.00,"Martin McDonagh, Martha Fiennes, Steven Spielberg"
Ray Winstone,3,3,1.00,"Ken Loach, Alan Clarke, Jonathan Glazer"
Richard Chamberlain,3,3,1.00,"Peter Weir, Richard Lester, Lee Stanley"
Ron Leibman,3,3,1.00,"Martin Ritt, George Roy Hill, Gordon Parks"
Serge Reggiani,3,3,1.00,"Jacques Becker, Jean-Pierre Melville, Max Ophüls"
Tina Aumont,3,3,1.00,"Giulio Questi, Federico Fellini, Philippe Garrel"
Keir Dullea,2,133,66.50,"Stanley Kubrick, Frank Perry"
Mila Parély,2,123,61.50,"Jean Renoir, Jean Cocteau"
Anatoli Solonitsyn,2,119,59.50,Andrei Tarkovsky
Nikolai Grinko,2,119,59.50,Andrei Tarkovsky
Nora Gregor,2,118,59.00,"Jean Renoir, Carl Theodor Dreyer"
Janet Gaynor,2,114,57.00,"F. W. Murnau, Frank Borzage"
Dita Parlo,2,107,53.50,"Jean Vigo, Jean Renoir"
Martin Sheen,2,103,51.50,"Francis Ford Coppola, Terrence Malick"
Jean Dasté,2,87,43.50,Jean Vigo
Jodie Foster,2,73,36.50,"Martin Scorsese, Jonathan Demme"
Grigori V. Aleksandrov,2,73,36.50,Sergei M Eisenstein
Anne Wiazemsky,2,71,35.50,"Robert Bresson, Philippe Garrel"
Tony Curtis,2,56,28.00,"Billy Wilder, Alexander Mackendrick"
Cathy Moriarty,2,55,27.50,"Martin Scorsese, Donald Cammell"
Justin Theroux,2,55,27.50,David Lynch
Anthony Quinn,2,54,27.00,"David Lean, Federico Fellini"
Naomi Watts,2,49,24.50,"David Lynch, Alejandro González Iñárritu"
Marilyn Monroe,2,47,23.50,"Billy Wilder, John Huston"
Kanu Banerjee,2,45,22.50,Satyajit Ray
Karuna Banerjee,2,45,22.50,Satyajit Ray
Charlton Heston,2,44,22.00,"Orson Welles, William Wyler"
Brigitte Helm,2,41,20.50,"Fritz Lang, Marcel L'Herbier"
Silvia Pinal,2,41,20.50,Luis Buñuel
Alfred Abel,2,40,20.00,"Fritz Lang, FW Murnau"
Grace Kelly,2,40,20.00,"Alfred Hitchcock, Charles Walters"
Davos Hanich,2,37,18.50,Chris Marker
Peter Lorre,2,36,18.00,"Fritz Lang, Peter Lorre"
Gloria Swanson,2,35,17.50,"Billy Wilder, Erich von Stroheim"
Jean Négroni,2,35,17.50,"Chris Marker, Chris Marker/Alain Resnais"
Isabella Rossellini,2,34,17.00,"David Lynch, Peter Weir"
Jason Robards,2,34,17.00,"Sergio Leone, Dalton Trumbo"
Kyle MacLachlan,2,34,17.00,"David Lynch, Paul Verhoeven"
Pierre Fresnay,2,34,17.00,"Jean Renoir, Henri-Georges Clouzot"
Florence Delay,2,32,16.00,"Chris Marker, Robert Bresson"
Fred MacMurray,2,32,16.00,Billy Wilder
Alexandra Stewart,2,31,15.50,"Chris Marker, Louis Malle"
Sakda Kaewbuadee,2,31,15.50,Apichatpong Weerasethakul
Sergio Corrieri,2,29,14.50,"Tomás Gutiérrez Alea, Mikhail Kalatozov"
Ernest Borgnine,2,28,14.00,"Sam Peckinpah, Robert Aldrich"
Juliet Berto,2,28,14.00,Jacques Rivette
Kathryn Mcguire,2,28,14.00,Buster Keaton
Fernando Fernán Gómez,2,27,13.50,"Víctor Erice, Carlos Saura"
Irm Hermann,2,26,13.00,"Rainer Werner Fassbinder, Ulrike Ottinger"
Jean-Louis Barrault,2,26,13.00,"Marcel Carné, Jean Renoir"
Sarah Miles,2,26,13.00,"Michelangelo Antonioni, Joseph Losey"
Mae Marsh,2,25,12.50,D.W. Griffith
Frank Morgan,2,24,12.00,"Victor Fleming, Ernst Lubitsch"
Alfonso Mejía,2,23,11.50,Luis Buñuel
Danny Aiello,2,23,11.50,"Spike Lee, Woody Allen"
David Hemmings,2,23,11.50,"Michelangelo Antonioni, Dario Argento"
Eiji Okada,2,23,11.50,"Alain Resnais, Teshigahara Hiroshi"
Estela Inda,2,23,11.50,Luis Buñuel
Jenjira Jansuda,2,23,11.50,Apichatpong Weerasethakul
John Cazale,2,23,11.50,"Francis Ford Coppola, Michael Cimino"
Mick Jagger,2,23,11.50,"Donald Cammell/Nicolas Roeg, Albert Maysles/David Maysles/Charlotte Zwerin"
Miguel Inclán,2,23,11.50,Luis Buñuel
Sofiko Chiaureli,2,23,11.50,"Sergei Parajanov, Revas Chkheidze"
Issey Ogata,2,22,11.00,"Edward Yang, Aleksandr Sokurov"
Jean Hersholt,2,22,11.00,"Erich von Stroheim, Ernst Lubitsch"
Jean-Luc Godard,2,22,11.00,Jean-Luc Godard
David Niven,2,21,10.50,"Michael Powell/Emeric Pressburger, Otto Preminger"
Lana Turner,2,21,10.50,"Douglas Sirk, Vincente Minnelli"
Sabu,2,20,10.00,"Michael Powell/Emeric Pressburger, Ozu Yasujirô"
Aldo Fabrizi,2,20,10.00,Roberto Rossellini
Anita Pallenberg,2,20,10.00,"Donald Cammell/Nicolas Roeg, Marco Ferreri"
Moira Shearer,2,20,10.00,"Michael Powell/Emeric Pressburger, Michael Powell"
Oskar Werner,2,20,10.00,"François Truffaut, Anatole Litvak"
Sam Shepard,2,20,10.00,"Terrence Malick, Andrew Dominik"
Samuel L. Jackson,2,20,10.00,Quentin Tarantino
Emily Watson,2,19,9.50,"Lars von Trier, Paul Thomas Anderson"
Emmanuele Riva,2,19,9.50,"Alain Resnais, Michael Haneke"
Eslinda Núñez,2,19,9.50,"Tomás Gutiérrez Alea, Humberto Solás"
Irène Jacob,2,19,9.50,Krzysztof Kieslowski
Li Wei,2,19,9.50,"Fei Mu, Zhang Yimou"
Ludmila Tselikovskaya,2,19,9.50,Sergei M Eisenstein
Serafima Birman,2,19,9.50,Sergei M Eisenstein
Vittorio De Sica,2,19,9.50,"Max Ophüls, Dino Risi"
Alexander Hackenschmied,2,18,9.00,"Maya Deren/Alexander Hammid, Maya Deren"
Diahnne Abbott,2,18,9.00,"John Cassavetes, Martin Scorsese"
Jenny Runacre,2,18,9.00,"Michelangelo Antonioni, Derek Jarman"
Mady Christians,2,18,9.00,"Max Ophüls, F. W. Murnau"
Maya Deren,2,18,9.00,"Maya Deren/Alexander Hammid, Maya Deren"
Wei Wei,2,18,9.00,"Fei Mu, Jia Zhang Ke"
Gina Manès,2,17,8.50,"Abel Gance, Jean Epstein"
Takeshi Kaneshiro,2,17,8.50,"Wong Kar Wai, Zhang Yimou"
Anne Vernon,2,16,8.00,"Jacques Demy, Jacques Becker"
Carrie Fisher,2,16,8.00,"George Lucas, Irvin Kershner"
Eric Portman,2,16,8.00,"Michael Powell/Emeric Pressburger, Lance Comfort"
Gloria Grahame,2,16,8.00,"Nicholas Ray, Fritz Lang"
Lynn Carlin,2,16,8.00,"John Cassavetes, Milos Forman"
Patrick Magee,2,16,8.00,"Stanley Kubrick, Steve Robert"
Ralph Bellamy,2,16,8.00,"Howard Hawks, Leo McCarey"
Sheila Sim,2,16,8.00,"Michael Powell/Emeric Pressburger, Lance Comfort"
Stellan Skarsgård,2,16,8.00,"Lars von Trier, David Fincher"
Adrien Brody,2,15,7.50,"Terrence Malick, M Sight Shyamalan"
Donna Reed,2,15,7.50,"Frank Capra, John Ford"
James Caviezel,2,15,7.50,"Terrence Malick, Mel Gibson"
Jean Arthur,2,15,7.50,"Howard Hawks, George Stevens"
Stanley Holloway,2,15,7.50,"David Lean, Henry Cornelius"
Yuri Järvet,2,15,7.50,"Andrei Tarkovsky, Grigori Kozintsev"
Andie MacDowell,2,14,7.00,"Harold Ramis, Robert Altman"
Claude Rains,2,14,7.00,"Alfred Hitchcock, Irving Rapper"
Ralph Meeker,2,14,7.00,"Stanley Kubrick, Robert Aldrich"
Ruth Gordon,2,14,7.00,"Roman Polanski, Hal Ashby"
Victor Mature,2,14,7.00,"John Ford, Cecil B DeMille"
Henri de Maublanc,2,14,7.00,"Robert Bresson, Philippe Garrel"
Charlotte Gainsbourg,2,13,6.50,Lars von Trier
Lino Ventura,2,13,6.50,Jean-Pierre Melville
Margaret Sullavan,2,13,6.50,"Ernst Lubitsch, Frank Borzage"
Mikola Nademsky,2,13,6.50,Aleksandr Dovzhenko
Semyon Svashenko,2,13,6.50,Aleksandr Dovzhenko
Shôtarô Hanayagi,2,13,6.50,"Mizoguchi Kenji, Naruse Mikio"
Stepan Shkurat,2,13,6.50,Aleksandr Dovzhenko
Pinaki Sen Gupta,2,13,6.50,Satyajit Ray
Carl Miller,2,12,6.00,Charles Chaplin
Georges Méliès,2,12,6.00,Georges Méliès
Leonid Mozgovoy,2,12,6.00,Aleksandr Sokurov
Myra Hess,2,12,6.00,"Humphrey Jennings/Stewart McAllister, Humphrey Jennings"
Othon Bastos,2,12,6.00,Glauber Rocha
Peter Ustinov,2,12,6.00,Max Ophüls
Sandrine Bonnaire,2,12,6.00,"Maurice Pialat, Agnès Varda"
Seymour Cassel,2,12,6.00,John Cassavetes
Alan Alda,2,11,5.50,Woody Allen
Cecilia Roth,2,11,5.50,"Pedro Almodóvar, Iván Zulueta"
Dean Stockwell,2,11,5.50,"Wim Wenders, Jacques Tourneur"
Ernst Jacobi,2,11,5.50,"Michael Haneke, Helma Sanders-Brahms"
Françoise Dorléac,2,11,5.50,"Jacques Demy, Roman Polanski"
Groucho Marx,2,11,5.50,"Leo McCarey, Sam Wood"
Guru Dutt,2,11,5.50,Guru Dutt
Harpo Marx,2,11,5.50,"Leo McCarey, Sam Wood"
José Lewgoy,2,11,5.50,"Glauber Rocha, Werner Herzog"
Kaycee Moore,2,11,5.50,"Charles Burnett, Billy Woodberry"
Keiji Sada,2,11,5.50,Ozu Yasujirô
Michel Bouquet,2,11,5.50,"Alain Resnais, François Truffaut"
Mitsuko Yoshikawa,2,11,5.50,"Ozu Yasujirô, Shimizu Hiroshi"
Tatsuo Saitô,2,11,5.50,"Ozu Yasujirô, Shimizu Hiroshi"
Anne Baxter,2,10,5.00,"Joseph L. Mankiewicz, Fritz Lang"
Katharine Ross,2,10,5.00,"Mike Nichols, George Roy Hill"
Kris Kristofferson,2,10,5.00,"Michael Cimino, Sam Peckinpah"
Lil Dagover,2,10,5.00,"Robert Wiene, Fritz Lang"
Madhabi Mukherjee,2,10,5.00,"Satyajit Ray, Ritwik Ghatak"
Oscar Levant,2,10,5.00,Vincente Minnelli
Pai Ying,2,10,5.00,King Hu
Richard Harris,2,10,5.00,"Michelangelo Antonioni, Lindsay Anderson"
Romolo Valli,2,10,5.00,"Luchino Visconti, Sergio Leone"
Shih Chun,2,10,5.00,King Hu
Volker Spengler,2,10,5.00,Rainer Werner Fassbinder
Werner Krauß,2,10,5.00,"Robert Wiene, Henrik Galeen"
Ben Carruthers,2,9,4.50,"John Cassavetes, Jonas Mekas"
Ben Johnson,2,9,4.50,John Ford
David Gulpilil,2,9,4.50,"Nicolas Roeg, Peter Weir"
Everett Sloane,2,9,4.50,"Orson Welles, Jerry Lewis"
Jane Wyman,2,9,4.50,Douglas Sirk
Jenny Agutter,2,9,4.50,"Nicolas Roeg, John Landis"
Margit Carstensen,2,9,4.50,"Andrzej Zulawski, Rainer Werner Fassbinder"
Melinda Dillon,2,9,4.50,"Paul Thomas Anderson, Tobe Hooper"
Alejandro Jodorowsky,2,8,4.00,Alejandro Jodorowsky
Alexei Batalov,2,8,4.00,"Mikhail Kalatozov, Josif Kheifits"
Cybill Shepherd,2,8,4.00,Peter Bogdanovich
Eddie Constantine,2,8,4.00,"Jean-Luc Godard, Rainer Werner Fassbinder"
Elena Kuzmina,2,8,4.00,"Boris Barnet/S. Mardanin, Grigori Kozintsev/Leonid Trauberg"
Jake Gyllenhaal,2,8,4.00,"Ang Lee, David Fincher"
Jean-Pierre Kalfon,2,8,4.00,"Jean-Luc Godard, Jacques Rivette"
Marcel Ophüls,2,8,4.00,Marcel Ophüls
Patricia Arquette,2,8,4.00,"David Lynch, Tony Scott"
René Lefèvre,2,8,4.00,"Jean Renoir, Jean Grémillon"
Rita Hayworth,2,8,4.00,"Orson Welles, Charles Vidor"
Tibor Molnár,2,8,4.00,Miklos Jancso
Timothy Bottoms,2,8,4.00,"Peter Bogdanovich, Dalton Trumbo"
Victor Moore,2,8,4.00,"Leo McCarey, George Stevens"
Harry Carey Jr,2,8,4.00,John Ford
Philip Seymour Hoffman,2,8,4.00,"Paul Thomas Anderson, Charlie Kaufman"
Akim Tamiroff,2,7,3.50,"Jean-Luc Godard, Orson Welles"
Aleksei Ananishnov,2,7,3.50,Aleksandr Sokurov
Aud Egede-Nissen,2,7,3.50,"Fritz Lang, FW Murnau"
Carrie-Anne Moss,2,7,3.50,"Andy Wachowski/Lana Wachowski, Christopher Nolan"
Charles Vanel,2,7,3.50,"Henri-Georges Clouzot, Jean Grémillon"
Chen Chao-jung,2,7,3.50,Tsai Ming Liang
Clark Gable,2,7,3.50,"Frank Capra, John Huston"
Franco Nero,2,7,3.50,"Luis Buñuel, Rainer Werner Fassbinder"
Frank Wolff,2,7,3.50,"Francesco Rosi, Elia Kazan"
Glauce Rocha,2,7,3.50,"Glauber Rocha, Nelson Pereira dos Santos"
Hardy Kruger,2,7,3.50,"Howard Hawks, Serge Bourguignon"
Hou Hsiao-Hsien,2,7,3.50,"Hsiao-hsien Hou, Edward Yang"
Jacques Harden,2,7,3.50,"Jacques Demy, Henri Colpi"
Jeanette Macdonald,2,7,3.50,"Rouben Mamoulian, Ernst Lubitsch"
John Turturro,2,7,3.50,Joel & Ethan Coen
Karl Malden,2,7,3.50,"Elia Kazan, John Ford"
Kate Winslet,2,7,3.50,"Michel Gondry, James Cameron"
Lionel Stander,2,7,3.50,"Roman Polanski, Martin Scorsese"
Marc Michel,2,7,3.50,"Jacques Demy, Jacques Becker"
Mercedes Morán,2,7,3.50,Lucrecia Martel
Michèle Morgan,2,7,3.50,"Marcel Carné, Carol Reed"
Ulrich Mühe,2,7,3.50,"Michael Haneke, Florian Henckel von Donnersmarck"
Peter Van Eyck,2,7,3.50,"Henri-Georges Clouzot, Fritz Lang"
Bob Dylan,2,6,3.00,"D.A. Pennebaker, Bob Dylan/D.A. Pennebaker"
Chen Shiang-chyi,2,6,3.00,"Tsai Ming Liang, Tsai Ming-Liang"
Chojuro Kawarazaki,2,6,3.00,"Mizoguchi Kenji, Yamanaka Sadao"
Elliott Gould,2,6,3.00,"Robert Altman, Paul Mazursky"
Hiram Keller,2,6,3.00,"Federico Fellini, Catherine Breillat"
James Coburn,2,6,3.00,"Sam Peckinpah, Sergio Leone"
Jim Carrey,2,6,3.00,"Michel Gondry, Peter Weir"
John Gielgud,2,6,3.00,"Alain Resnais, Tony Richardson"
Julie Andrews,2,6,3.00,"Robert Wise, Robert Stevenson"
Maude George,2,6,3.00,Erich von Stroheim
Milena Dravic,2,6,3.00,"Dusan Makavejev, Matjaz Klopcic"
Ninetto Davoli,2,6,3.00,Pier Paolo Pasolini
Rita Macedo,2,6,3.00,Luis Buñuel
Susan Hayward,2,6,3.00,"Nicholas Ray, Jacques Tourneur"
Walter Huston,2,6,3.00,"John Huston, Frank Capra"
Howard Da Silva,2,6,3.00,"Nicholas Ray, Frank Perry"
Maurício do Valle,2,6,3.00,Glauber Rocha
The Rolling Stones,2,6,3.00,"Albert Maysles/David Maysles/Charlotte Zwerin, Robert Frank"
Haji,2,5,2.50,"Russ Meyer, Fukasaku Kinji"
Adriana Asti,2,5,2.50,"Luis Buñuel, Marco Tullio Giordana"
Alberto Sordi,2,5,2.50,"Federico Fellini, Dino Risi"
Anjelica Huston,2,5,2.50,"John Huston, Wes Anderson"
Ann Savage,2,5,2.50,"Edgar G. Ulmer, Guy Maddin"
Atila Iorio,2,5,2.50,"Nelson Pereira dos Santos, Ruy Guerra"
Billy Zane,2,5,2.50,"Sally Potter, James Cameron"
Carl Lee,2,5,2.50,"Shirley Clarke, Gordon Parks Jr"
Charles Farrell,2,5,2.50,"Frank Borzage, FW Murnau"
Claire Bloom,2,5,2.50,"Charles Chaplin, George Cukor"
Colin Clive,2,5,2.50,James Whale
Constance Towers,2,5,2.50,Samuel Fuller
Farid Shawki,2,5,2.50,"Youssef Chahine, Salah Abu Seif"
Franco Fabrizi,2,5,2.50,"Federico Fellini, Dino Risi"
Franco Interlenghi,2,5,2.50,"Federico Fellini, Vittorio De Sica"
Helmut Berger,2,5,2.50,Luchino Visconti
Jack Carson,2,5,2.50,"George Cukor, Michael Curtiz"
Janice Rule,2,5,2.50,"Frank Perry, Robert Altman"
Javier Bardem,2,5,2.50,"Joel & Ethan Coen, Alejandro González Iñárritu"
Josh Brolin,2,5,2.50,"Joel & Ethan Coen, Richard Donner"
Karen Allen,2,5,2.50,"Steven Spielberg, Philip Kaufman"
Magdalena Montezuma,2,5,2.50,Werner Schroeter
Margaret Leighton,2,5,2.50,"John Ford, Joseph Losey"
Mark Ruffalo,2,5,2.50,"David Fincher, Lisa Cholodenko"
Michelle Williams,2,5,2.50,"Charlie Kaufman, Kelly Reichardt"
Milla Jovovich,2,5,2.50,"Richard Linklater, Luc Besson"
Muzzafer Özdemir,2,5,2.50,Nuri Bilge Ceylan
Nicolas Cage,2,5,2.50,"Joel & Ethan Coen, David Lynch"
Rex Harrison,2,5,2.50,"Joseph L. Mankiewicz, Sidney Gilliat"
River Phoenix,2,5,2.50,"Gus van Sant, Rob Reiner"
Robert Walker,2,5,2.50,"Alfred Hitchcock, Vincente Minnelli"
Ronald Colman,2,5,2.50,"Mervyn LeRoy, Ernst Lubitsch"
Sami Frey,2,5,2.50,"Jean-Luc Godard, Dusan Makavejev"
Simone Simon,2,5,2.50,"Jean Renoir, Jacques Tourneur"
Steven Bauer,2,5,2.50,Brian De Palma
Sue Lyon,2,5,2.50,"John Ford, Stanley Kubrick"
Vladimir Popov,2,5,2.50,"Albert Lamorisse, Marlen Khutsiyev"
Zhang Ziyi,2,5,2.50,"Ang Lee, Zhang Yimou"
Billy Bob Thornton,2,5,2.50,"Miyazaki Hayao, Marc Forster"
Robert Downey Jr,2,5,2.50,"David Fincher, Oliver Stone"
Sacha Baron Cohen,2,5,2.50,"Martin Scorsese, Larry Charles"
Divine,2,4,2.00,John Waters
Rufus,2,4,2.00,"Jean-Pierre Jeunet, Alain Tanner"
Séverin-Mars,2,4,2.00,Abel Gance
Zouzou,2,4,2.00,"Shadi Abdel Salam, Eric Rohmer"
André Wilms,2,4,2.00,Aki Kaurismaki
Angela Winkler,2,4,2.00,"Volker Schlöndorff, Peter Handke"
Angeli Bayani,2,4,2.00,Lav Díaz
Angie Dickinson,2,4,2.00,"John Boorman, Roger Vadim"
Barbara Sukowa,2,4,2.00,"Lars von Trier, Margarethe von Trotta"
Boris Karloff,2,4,2.00,James Whale
Bruno Cremer,2,4,2.00,"William Friedkin, Jean-Claude Brisseau"
Charles Winninger,2,4,2.00,"John Ford, William A Wellman"
Coleen Gray,2,4,2.00,"Stanley Kubrick, Edmund Goulding"
Dan Dailey,2,4,2.00,"John Ford, Stanley Donen/Gene Kelly"
Danièle Huillet,2,4,2.00,Jean-Marie Straub/Danièle Huillet
David Lochary,2,4,2.00,John Waters
Elizabeth Taylor,2,4,2.00,"George Stevens, Mike Nichols"
Ewen Bremner,2,4,2.00,"Danny Boyle, Harmony Korine"
Gabriel Byrne,2,4,2.00,"Joel & Ethan Coen, Bryan Singer"
Hélène Diarra,2,4,2.00,"Abderrahmane Sissako, Ousmane Sembene"
Horst Buchholz,2,4,2.00,"Billy Wilder, J Lee Thompson"
Jack Smith,2,4,2.00,Ken Jacobs
James Cagney,2,4,2.00,"Billy Wilder, Raoul Walsh"
Jane Fonda,2,4,2.00,"Jean-Luc Godard/Jean-Pierre Gorin, George Cukor"
Jece Valadão,2,4,2.00,"Glauber Rocha, Nelson Pereira dos Santos"
Jitsuko Yoshimura,2,4,2.00,"Imamura Shohei, Shindo Kaneto"
John Cleese,2,4,2.00,"Terry Jones, Terry Gilliam"
John Gilbert,2,4,2.00,"King Vidor, Erich von Stroheim"
Konstantin Lavronenko,2,4,2.00,Andrei Zvyagintsev
Laurence Harvey,2,4,2.00,"John Frankenheimer, Jack Clayton"
Lee Miller,2,4,2.00,"Danny Boyle, Jean Cocteau"
Liam Cunningham,2,4,2.00,"Steve McQueen, Ken Loach"
Lothaire Bluteau,2,4,2.00,"Sally Potter, Denys Arcand"
Michelle Pfeiffer,2,4,2.00,"Brian De Palma, Martin Scorsese"
Monica Bellucci,2,4,2.00,"Gaspar Noé, Mel Gibson"
Perry Dizon,2,4,2.00,Lav Díaz
Pierre Renoir,2,4,2.00,Jean Renoir
Piper Laurie,2,4,2.00,"Brian de Palma, Robert Rossen"
Rade Serbedzija,2,4,2.00,"Milcho Manchevski, Matjaz Klopcic"
Roeder Camanag,2,4,2.00,Lav Díaz
