ruth-barton,Ruth Barton,ruth barton,critic,Ireland,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/ruth-barton
whelan-barzey,Whelan Barzey,whelan barzey,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/whelan-barzey
ariel-baska,Ariel Baska,ariel baska,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/ariel-baska
george-bass,George Bass,george bass,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/george-bass
fradique-bastos,Fradique Bastos,fradique bastos,director,Angola,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/fradique-bastos
ritesh-batra,Ritesh Batra,ritesh batra,director,India/US,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/ritesh-batra
adam-batty,Adam Batty,adam batty,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/adam-batty
nikki-baughan,Nikki Baughan,nikki baughan,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/nikki-baughan
fabien-baumann,Fabien Baumann,fabien baumann,critic,France,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/fabien-baumann
nico-baumbach,Nico Baumbach,nico baumbach,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/nico-baumbach
michael-baute,Michael Baute,michael baute,critic,Germany,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/michael-baute
john-baxter,John Baxter,john baxter,critic,Australia,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/john-baxter
alasdair-bayman,Alasdair Bayman,alasdair bayman,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/alasdair-bayman
thomas-beard,Thomas Beard,thomas beard,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/thomas-beard
tom-beasley,Tom Beasley,tom beasley,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/tom-beasley
frank-beauvais,Frank Beauvais,frank beauvais,director,France,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/frank-beauvais
nemanja-becanovic,Nemanja Becanovic,nemanja becanovic,critic,Montenegro,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/nemanja-becanovic
colin-beckett,Colin Beckett,colin beckett,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/colin-beckett
jay-bedwani,Jay Bedwani,jay bedwani,director,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/jay-bedwani
robert-beeson,Robert Beeson,robert beeson,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/robert-beeson
anahit-behrooz,Anahit Behrooz,anahit behrooz,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/anahit-behrooz
andreas-beilharz,Andreas Beilharz,andreas beilharz,critic,Germany,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/andreas-beilharz
ewerton-belico,Ewerton Belico,ewerton belico,critic,Brazil,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/ewerton-belico
james-bell,James Bell,james bell,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/james-bell
mahalia-belo,Mahalia Belo,mahalia belo,director,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/mahalia-belo
tarek-ben-chabaane,Tarek Ben Chabaane,tarek ben chabaane,critic,Tunisia,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/tarek-ben-chabaane
margot-benacerraf,Margot Benacerraf,margot benacerraf,director,Venezuela,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/margot-benacerraf
joao-pedro-benard,João Pedro Bénard,joao pedro benard,critic,Portugal,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/joao-pedro-benard
abbey-bender,Abbey Bender,abbey bender,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/abbey-bender
mustapha-benfodil,Mustapha Benfodil,mustapha benfodil,critic,Algeria,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/mustapha-benfodil
james-benning,James Benning,james benning,director,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/james-benning
faouzi-bensaidi,Faouzi Bensaïdi,faouzi bensaidi,director,Morocco,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/faouzi-bensaidi
bruce-beresford,Bruce Beresford,bruce beresford,director,Australia,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/bruce-beresford
edward-berger,Edward Berger,edward berger,director,Germany,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/edward-berger
pablo-berger,Pablo Berger,pablo berger,director,Spain,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/pablo-berger
tim-bergfelder,Tim Bergfelder,tim bergfelder,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/tim-bergfelder
hanna-bergholm,Hanna Bergholm,hanna bergholm,director,Finland,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/hanna-bergholm
phillip-bergson,Phillip Bergson,phillip bergson,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/phillip-bergson
philip-berk,Philip Berk,philip berk,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/philip-berk
annie-berke,Annie Berke,annie berke,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/annie-berke
madeleine-bernstorff,Madeleine Bernstorff,madeleine bernstorff,critic,Germany,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/madeleine-bernstorff
john-berra,John Berra,john berra,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/john-berra
claude-bertemes,Claude Bertemes,claude bertemes,critic,Luxembourg,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/claude-bertemes
paolo-bertolin,Paolo Bertolin,paolo bertolin,critic,Italy,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/paolo-bertolin
eddie-bertozzi,Eddie Bertozzi,eddie bertozzi,critic,Italy,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/eddie-bertozzi
manuel-betancourt,Manuel Betancourt,manuel betancourt,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/manuel-betancourt
sanjay-leela-bhansali,Sanjay Leela Bhansali,sanjay leela bhansali,director,India,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/sanjay-leela-bhansali
kaushik-bhaumik,Kaushik Bhaumik,kaushik bhaumik,critic,India,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/kaushik-bhaumik
